run_id,lineAvailability,unplannedDowntimeCount,unplannedDowntimeMinutes,avgCycleMinutes,changeoverEventCount,wipPeak,rippleEffectMinutes,failurePredictionLeadTime,maintenanceCost,plannedMaintMinutes,completedCount
520,0.999244,4,685.89,63.0351,112,69,14.55,0.2435,52096.85,8643.54,920
521,1.000000,0,0.00,62.9618,124,94,0.00,0.0000,21625.92,8650.37,937
522,1.000000,0,0.00,63.0407,136,94,0.00,0.0000,28822.80,11529.12,982
523,1.000000,0,0.00,63.8230,156,106,0.00,0.0000,28811.75,11524.70,939
524,1.000000,0,0.00,62.5049,115,83,0.00,0.0000,21624.16,8649.66,925
525,1.000000,0,0.00,63.7708,141,108,0.00,71.2943,21621.19,8648.48,927
526,1.000000,0,0.00,64.9777,156,111,0.00,0.0000,28823.20,11529.28,980
527,1.000000,0,0.00,62.8376,126,81,0.00,0.0000,21616.94,8646.78,911
528,1.000000,0,0.00,63.0126,132,74,0.00,0.0000,28817.34,11526.94,959
529,1.000000,0,0.00,65.1311,156,125,0.00,15.9293,28833.86,11533.54,951
530,1.000000,0,0.00,63.6853,141,89,0.00,0.0000,28824.74,11529.90,940
531,1.000000,0,0.00,61.9278,107,73,0.00,0.0000,28825.33,11530.13,937
532,1.000000,0,0.00,63.3058,129,96,0.00,0.0000,28812.31,11524.92,957
533,1.000000,0,0.00,62.4892,129,80,0.00,0.0000,28824.84,11529.94,966
534,1.000000,0,0.00,63.3522,138,99,0.00,0.0000,28827.92,11531.17,942
535,1.000000,0,0.00,64.0699,151,104,0.00,0.0000,28824.73,11529.89,952
536,1.000000,0,0.00,64.4088,142,98,0.00,0.0000,28832.93,11533.17,940
537,1.000000,0,0.00,63.2794,134,90,0.00,16.2942,28824.74,11529.89,948
538,1.000000,0,0.00,63.6486,137,97,0.00,0.0000,21620.08,8648.03,917
539,1.000000,0,0.00,63.8226,141,104,0.00,40.4522,28821.82,11528.73,956
540,1.000000,0,0.00,64.4436,143,103,0.00,0.0000,28831.39,11532.56,936
541,1.000000,0,0.00,62.8123,127,90,0.00,6.8347,28821.17,11528.47,967
542,1.000000,0,0.00,62.0026,118,80,0.00,0.0000,28818.27,11527.31,953
543,1.000000,0,0.00,63.3267,149,95,0.00,0.0000,28820.14,11528.06,980
544,1.000000,0,0.00,62.7076,110,80,0.00,11.6092,28815.28,11526.11,924
545,1.000000,0,0.00,64.4611,157,114,0.00,0.0000,28820.09,11528.04,948
546,1.000000,0,0.00,63.2323,120,72,0.00,0.0000,28823.76,11529.50,924
547,1.000000,0,0.00,63.3018,143,105,0.00,0.0000,28819.58,11527.83,944
548,1.000000,0,0.00,63.3855,143,93,0.00,55.0390,28837.57,11535.03,974
549,1.000000,0,0.00,64.5621,166,113,0.00,0.0000,28831.63,11532.65,951
550,1.000000,0,0.00,62.5779,118,92,0.00,0.0000,28832.27,11532.91,939
551,1.000000,0,0.00,63.7399,154,106,0.00,12.8435,28831.78,11532.71,1007
552,1.000000,0,0.00,65.7619,177,135,0.00,0.0000,28827.02,11530.81,984
553,1.000000,0,0.00,64.5216,139,87,0.00,71.4985,28833.05,11533.22,968
554,1.000000,0,0.00,64.2663,152,104,0.00,49.5708,21610.23,8644.09,916
555,1.000000,0,0.00,63.7714,143,101,0.00,0.0000,28820.12,11528.05,978
556,1.000000,0,0.00,62.8185,123,87,0.00,35.3385,28825.80,11530.32,955
557,1.000000,0,0.00,63.1064,130,97,0.00,5.4313,28824.20,11529.68,964
558,1.000000,0,0.00,63.3090,141,97,0.00,0.0000,28825.90,11530.36,989
559,1.000000,0,0.00,65.7339,185,128,0.00,0.0000,28830.42,11532.17,987
560,1.000000,0,0.00,63.4062,123,91,0.00,48.1141,21631.64,8652.66,911
561,1.000000,0,0.00,63.6523,119,104,0.00,11.7770,21614.19,8645.68,923
562,1.000000,0,0.00,64.6796,155,118,0.00,0.0000,28838.43,11535.37,950
563,1.000000,0,0.00,63.1865,134,89,0.00,0.0000,28817.30,11526.92,1004
564,1.000000,0,0.00,63.3075,139,85,0.00,9.7508,28808.64,11523.46,937
565,1.000000,0,0.00,63.7705,146,96,0.00,0.0000,28819.87,11527.95,974
566,1.000000,0,0.00,64.8879,152,112,0.00,0.0000,28819.28,11527.71,986
567,0.999597,2,365.50,64.7750,151,115,99.87,3.4263,37863.81,8646.99,946
